id,question_id,answer_id
4,1,4
5,0,5
6,0,6
7,1,7
8,1,8
9,1,9
10,0,10
11,1,11
12,1,12
13,1,13
14,0,14
15,0,15
16,1,16
17,1,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,1,24
25,1,25
26,0,26
27,1,27
28,0,28
29,1,29
30,0,30
31,0,31
32,0,32
33,1,33
34,1,34
35,1,35
36,0,36
37,0,37
38,1,38
39,1,39
40,1,40
41,0,41
42,1,42
43,0,43
44,1,44
45,0,45
46,1,46
47,0,47
48,0,48
49,0,49
50,1,50
51,1,51
52,1,52
53,0,53
54,1,54
55,0,55
56,0,56
57,1,57
58,0,58
59,0,59
60,1,60
61,1,61
62,1,62
63,0,63
64,0,64
65,1,65
66,1,66
67,1,67
68,1,68
69,0,69
70,1,70
71,0,71
72,1,72
73,1,73
74,0,74
75,1,75
76,1,76
77,0,77
78,1,78
79,0,79
80,1,80
81,1,81
82,0,82
83,0,83
84,1,84
85,1,85
86,0,86
87,0,87
88,0,88
89,1,89
90,0,90
91,1,91
92,0,92
93,0,93
94,1,94
95,1,95
96,0,96
97,1,97
98,0,98
99,1,99
100,0,100
101,0,101
102,1,102
103,0,103
104,1,104
105,1,105
106,1,106
107,1,107
108,0,108
109,0,109
110,1,110
111,1,111
112,0,112
113,0,113
114,0,114
115,1,115
116,1,116
117,1,117
118,0,118
119,0,119
120,0,120
121,0,121
122,1,122
123,0,123
124,0,124
125,0,125
126,0,126
127,1,127
128,0,128
129,0,129
130,0,130
131,1,131
132,1,132
133,0,133
134,0,134
135,0,135
136,0,136
137,0,137
138,1,138
139,1,139
140,0,140
141,0,141
142,0,142
143,1,143
144,1,144
145,1,145
146,0,146
147,0,147
148,1,148
149,0,149
150,1,150
151,0,151
152,1,152
153,0,153
154,1,154
155,0,155
156,1,156
157,0,157
158,1,158
159,0,159
160,1,160
161,1,161
162,0,162
163,1,163
